task_text,task_type,input_data
Дана строка text. Подсчитайте количество слов.,text_words,"Python это язык программирования"
Дана строка text. Найдите количество слов.,text_words,"Изучение Python очень полезно"
Дана строка text. Определите число слов.,text_words,"Машинное обучение и анализ данных"
Дана строка text. Подсчитайте количество слов.,text_words,"Программирование требует практики"
Дана строка text. Найдите количество слов.,text_words,"Алгоритмы и структуры данных"

Дана строка text. Подсчитайте количество символов.,text_chars,"Привет мир"
Дана строка text. Подсчитайте количество символов.,text_chars,"Python"
Дана строка text. Подсчитайте количество символов.,text_chars,"Данные"
Дана строка text. Подсчитайте количество символов.,text_chars,"Обработка текста"
Дана строка text. Подсчитайте количество символов.,text_chars,"Система тестирования"

Дана строка text. Подсчитайте количество символов без учета пробелов.,text_chars_no_space,"Привет мир"
Дана строка text. Подсчитайте количество символов без учета пробелов.,text_chars_no_space,"Анализ данных"
Дана строка text. Подсчитайте количество символов без учета пробелов.,text_chars_no_space,"Машинное обучение"
Дана строка text. Подсчитайте количество символов без учета пробелов.,text_chars_no_space,"Python язык"
Дана строка text. Подсчитайте количество символов без учета пробелов.,text_chars_no_space,"Курсовая работа"

Дана строка text. Удалите все пробелы.,text_remove_spaces,"Привет мир Python"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Обработка больших данных"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Система автоматической проверки"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Учебное задание"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Язык программирования"

Дан список чисел data. Найдите сумму элементов.,list_sum,"[1, 2, 3, 4, 5]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[-2, 5, 7, 1]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[10, 20, 30]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[3, 3, 3, 3]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[0, 5, -5]"

Дан список чисел data. Найдите сумму положительных элементов.,list_sum_positive,"[-1, 2, 3, -4, 5]"
Дан список чисел data. Найдите сумму положительных элементов.,list_sum_positive,"[1, -2, 3, 4]"
Дан список чисел data. Найдите сумму положительных элементов.,list_sum_positive,"[-5, -3, 10]"
Дан список чисел data. Найдите сумму положительных элементов.,list_sum_positive,"[7, 8, -9]"
Дан список чисел data. Найдите сумму положительных элементов.,list_sum_positive,"[1, 1, 1]"

Дан список чисел data. Оставьте только чётные элементы.,list_even,"[1, 2, 3, 4, 5]"
Дан список чисел data. Оставьте только чётные элементы.,list_even,"[10, 15, 20]"
Дан список чисел data. Оставьте только чётные элементы.,list_even,"[7, 9, 11]"
Дан список чисел data. Оставьте только чётные элементы.,list_even,"[2, 4, 6]"
Дан список чисел data. Оставьте только чётные элементы.,list_even,"[0, 1, 2]"

Дан список чисел data. Возведите каждый элемент в квадрат.,list_square,"[1, 2, 3]"
Дан список чисел data. Возведите каждый элемент в квадрат.,list_square,"[4, 5]"
Дан список чисел data. Возведите каждый элемент в квадрат.,list_square,"[6, 7, 8]"
Дан список чисел data. Возведите каждый элемент в квадрат.,list_square,"[9]"
Дан список чисел data. Возведите каждый элемент в квадрат.,list_square,"[2, 4, 6]"

Дан список чисел data. Найдите максимальное значение.,list_max,"[1, 7, 3, 9, 2]"
Дан список чисел data. Найдите максимальное значение.,list_max,"[-5, -1, -3]"
Дан список чисел data. Найдите максимальное значение.,list_max,"[10, 20, 5]"
Дан список чисел data. Найдите максимальное значение.,list_max,"[0, 0, 0]"
Дан список чисел data. Найдите максимальное значение.,list_max,"[4, 2, 8, 6]"

Дан список чисел data. Найдите минимальное значение.,list_min,"[1, 7, 3, 9, 2]"
Дан список чисел data. Найдите минимальное значение.,list_min,"[-5, -1, -3]"
Дан список чисел data. Найдите минимальное значение.,list_min,"[10, 20, 5]"
Дан список чисел data. Найдите минимальное значение.,list_min,"[0, 0, 0]"
Дан список чисел data. Найдите минимальное значение.,list_min,"[4, 2, 8, 6]"

Дан список чисел data. Найдите разницу между максимальным и минимальным.,list_diff_max_min,"[1, 7, 3, 9, 2]"
Дан список чисел data. Найдите разницу между максимальным и минимальным.,list_diff_max_min,"[10, 5, 3]"
Дан список чисел data. Найдите разницу между максимальным и минимальным.,list_diff_max_min,"[-2, -8, -5]"
Дан список чисел data. Найдите разницу между максимальным и минимальным.,list_diff_max_min,"[0, 4]"
Дан список чисел data. Найдите разницу между максимальным и минимальным.,list_diff_max_min,"[100, 50, 75]"

Дан список чисел data. Проверьте, отсортирован ли список по возрастанию.,list_is_sorted,"[1, 2, 3, 4]"
Дан список чисел data. Проверьте, отсортирован ли список по возрастанию.,list_is_sorted,"[4, 3, 2, 1]"
Дан список чисел data. Проверьте, отсортирован ли список по возрастанию.,list_is_sorted,"[1, 1, 2, 2]"
Дан список чисел data. Проверьте, отсортирован ли список по возрастанию.,list_is_sorted,"[5]"
Дан список чисел data. Проверьте, отсортирован ли список по возрастанию.,list_is_sorted,"[2, 1]"

Дан список строк data. Найдите количество уникальных строк.,list_unique_strings,"['яблоко', 'груша', 'яблоко', 'апельсин']"
Дан список строк data. Найдите количество уникальных строк.,list_unique_strings,"['cat', 'dog', 'cat', 'mouse']"
Дан список строк data. Найдите количество уникальных строк.,list_unique_strings,"['a', 'b', 'c', 'a']"
Дан список строк data. Найдите количество уникальных строк.,list_unique_strings,"['один', 'два', 'три']"
Дан список строк data. Найдите количество уникальных строк.,list_unique_strings,"['x', 'x', 'x']"

Дан список строк data. Отсортируйте строки в алфавитном порядке.,list_sort_strings,"['банан', 'яблоко', 'груша', 'апельсин']"
Дан список строк data. Отсортируйте строки в алфавитном порядке.,list_sort_strings,"['dog', 'cat', 'elephant']"
Дан список строк data. Отсортируйте строки в алфавитном порядке.,list_sort_strings,"['c', 'b', 'a']"
Дан список строк data. Отсортируйте строки в алфавитном порядке.,list_sort_strings,"['один', 'два', 'три']"
Дан список строк data. Отсортируйте строки в алфавитном порядке.,list_sort_strings,"['x', 'a', 'm']"

Дан список строк data. Найдите самую длинную строку.,list_longest_string,"['cat', 'dog', 'elephant']"
Дан список строк data. Найдите самую длинную строку.,list_longest_string,"['one', 'three', 'five']"
Дан список строк data. Найдите самую длинную строку.,list_longest_string,"['a', 'ab', 'abc']"
Дан список строк data. Найдите самую длинную строку.,list_longest_string,"['короткий', 'длинная_строка']"
Дан список строк data. Найдите самую длинную строку.,list_longest_string,"['x', 'yy', 'zzz']"

Дан список строк data. Объедините строки через запятую.,list_join_comma,"['яблоко', 'груша', 'апельсин']"
Дан список строк data. Объедините строки через запятую.,list_join_comma,"['one', 'two', 'three']"
Дан список строк data. Объедините строки через запятую.,list_join_comma,"['a', 'b', 'c']"
Дан список строк data. Объедините строки через запятую.,list_join_comma,"['один', 'два']"
Дан список строк data. Объедините строки через запятую.,list_join_comma,"['x']"

Дан словарь data. Найдите сумму всех значений.,dict_sum,"{'a': 3, 'b': 7}"
Дан словарь data. Найдите сумму всех значений.,dict_sum,"{'x': 10, 'y': 5}"
Дан словарь data. Найдите сумму всех значений.,dict_sum,"{'m': 1, 'n': 2, 'k': 3}"
Дан словарь data. Найдите сумму всех значений.,dict_sum,"{'one': 1, 'two': 2, 'three': 3}"
Дан словарь data. Найдите сумму всех значений.,dict_sum,"{'p': 100}"

Дан словарь data. Найдите среднее значение чисел.,dict_avg,"{'Ann': 80, 'Bob': 90}"
Дан словарь data. Найдите среднее значение чисел.,dict_avg,"{'Kate': 70, 'Max': 85, 'Leo': 95}"
Дан словарь data. Найдите среднее значение чисел.,dict_avg,"{'a': 1, 'b': 2, 'c': 3, 'd': 4}"
Дан словарь data. Найдите среднее значение чисел.,dict_avg,"{'x': 10}"
Дан словарь data. Найдите среднее значение чисел.,dict_avg,"{'p': 5, 'q': 15}"

Дан словарь data. Подсчитайте количество элементов.,dict_count,"{'a': 1, 'b': 2}"
Дан словарь data. Подсчитайте количество элементов.,dict_count,"{'x': 10, 'y': 20, 'z': 30}"
Дан словарь data. Подсчитайте количество элементов.,dict_count,"{'one': 1}"
Дан словарь data. Подсчитайте количество элементов.,dict_count,"{}"
Дан словарь data. Подсчитайте количество элементов.,dict_count,"{'p': 5, 'q': 15, 'r': 25}"

Дан словарь data. Поменяйте местами ключи и значения.,dict_swap,"{'a': 1, 'b': 2}"
Дан словарь data. Поменяйте местами ключи и значения.,dict_swap,"{'x': 10, 'y': 20}"
Дан словарь data. Поменяйте местами ключи и значения.,dict_swap,"{'one': 1, 'two': 2}"
Дан словарь data. Поменяйте местами ключи и значения.,dict_swap,"{'p': 5}"
Дан словарь data. Поменяйте местами ключи и значения.,dict_swap,"{'a': 1, 'b': 1}"

Дан текст text. Найдите самое длинное слово.,text_longest_word,"Программирование требует практики"
Дан текст text. Найдите самое длинное слово.,text_longest_word,"Машинное обучение и анализ"
Дан текст text. Найдите самое длинное слово.,text_longest_word,"Алгоритмы и структуры данных"
Дан текст text. Найдите самое длинное слово.,text_longest_word,"Python простой язык"
Дан текст text. Найдите самое длинное слово.,text_longest_word,"Учебное задание по программированию"

Дан текст text. Найдите количество предложений.,text_sentence_count,"Программирование требует практики."
Дан текст text. Найдите количество предложений.,text_sentence_count,"Python прост. Он удобен!"
Дан текст text. Найдите количество предложений.,text_sentence_count,"Учёба важна? Конечно важна!"
Дан текст text. Найдите количество предложений.,text_sentence_count,"Один текст без точки"
Дан текст text. Найдите количество предложений.,text_sentence_count,"Первое. Второе. Третье."

Дан текст text. Удалите все знаки препинания.,text_remove_punct,"Привет, мир!"
Дан текст text. Удалите все знаки препинания.,text_remove_punct,"Учёба — это важно."
Дан текст text. Удалите все знаки препинания.,text_remove_punct,"Python: простой, мощный!"
Дан текст text. Удалите все знаки препинания.,text_remove_punct,"Тест, пример; проверка."
Дан текст text. Удалите все знаки препинания.,text_remove_punct,"Строка без знаков"

Дан текст text. Подсчитайте количество гласных букв.,text_vowel_count,"Программирование"
Дан текст text. Подсчитайте количество гласных букв.,text_vowel_count,"Машинное обучение"
Дан текст text. Подсчитайте количество гласных букв.,text_vowel_count,"Алгоритмы данных"
Дан текст text. Подсчитайте количество гласных букв.,text_vowel_count,"Python"
Дан текст text. Подсчитайте количество гласных букв.,text_vowel_count,"Учебное задание"

Дан список чисел data. Найдите медиану списка.,list_median,"[1, 3, 5, 7, 9]"
Дан список чисел data. Найдите медиану списка.,list_median,"[4, 1, 7, 2]"
Дан список чисел data. Найдите медиану списка.,list_median,"[10, 20, 30, 40]"
Дан список чисел data. Найдите медиану списка.,list_median,"[5]"
Дан список чисел data. Найдите медиану списка.,list_median,"[8, 3, 6, 1, 9, 2]"

Дан список чисел data. Найдите три наибольших элемента.,list_top3,"[1, 9, 3, 7, 5]"
Дан список чисел data. Найдите три наибольших элемента.,list_top3,"[10, 20, 30, 40]"
Дан список чисел data. Найдите три наибольших элемента.,list_top3,"[5, 4, 3, 2, 1]"
Дан список чисел data. Найдите три наибольших элемента.,list_top3,"[1, 2, 3]"
Дан список чисел data. Найдите три наибольших элемента.,list_top3,"[100, 50, 75, 25]"

Дан список чисел data. Найдите максимальную сумму двух соседних элементов.,list_max_adjacent_sum,"[1, 2, 3, 4, 5]"
Дан список чисел data. Найдите максимальную сумму двух соседних элементов.,list_max_adjacent_sum,"[5, 1, 3, 2]"
Дан список чисел data. Найдите максимальную сумму двух соседних элементов.,list_max_adjacent_sum,"[10, -5, 7, 3]"
Дан список чисел data. Найдите максимальную сумму двух соседних элементов.,list_max_adjacent_sum,"[1, 1, 1, 1]"
Дан список чисел data. Найдите максимальную сумму двух соседних элементов.,list_max_adjacent_sum,"[9, 8, 7]"

Дан список строк data. Отсортируйте строки по длине.,list_sort_by_length,"['cat', 'elephant', 'dog']"
Дан список строк data. Отсортируйте строки по длине.,list_sort_by_length,"['one', 'three', 'five', 'seven']"
Дан список строк data. Отсортируйте строки по длине.,list_sort_by_length,"['a', 'ab', 'abc', 'abcd']"
Дан список строк data. Отсортируйте строки по длине.,list_sort_by_length,"['короткий', 'длиннаястрока', 'средний']"
Дан список строк data. Отсортируйте строки по длине.,list_sort_by_length,"['x', 'yy', 'zzz', 'wwww']"

Дан список чисел data. Найдите элементы больше среднего значения.,list_above_avg,"[1, 2, 3, 4, 5]"
Дан список чисел data. Найдите элементы больше среднего значения.,list_above_avg,"[10, 20, 30]"
Дан список чисел data. Найдите элементы больше среднего значения.,list_above_avg,"[5, 5, 5, 5]"
Дан список чисел data. Найдите элементы больше среднего значения.,list_above_avg,"[-2, 0, 2, 4]"
Дан список чисел data. Найдите элементы больше среднего значения.,list_above_avg,"[100, 50, 75, 25]"

Дан список чисел data. Удалите все дубликаты, сохранив порядок.,list_unique_keep_order,"[1, 2, 2, 3, 1, 4]"
Дан список чисел data. Удалите все дубликаты, сохранив порядок.,list_unique_keep_order,"[5, 5, 5]"
Дан список чисел data. Удалите все дубликаты, сохранив порядок.,list_unique_keep_order,"[3, 1, 3, 2, 1]"
Дан список чисел data. Удалите все дубликаты, сохранив порядок.,list_unique_keep_order,"[0, 1, 0, 1, 0]"
Дан список чисел data. Удалите все дубликаты, сохранив порядок.,list_unique_keep_order,"[9, 8, 7, 9, 8]"

Дан список строк data. Найдите строки, содержащие только буквы.,list_strings_alpha,"['abc', 'a1', 'hello', '123']"
Дан список строк data. Найдите строки, содержащие только буквы.,list_strings_alpha,"['текст', 'строка1', 'пример']"
Дан список строк data. Найдите строки, содержащие только буквы.,list_strings_alpha,"['one', 'two2', 'three']"
Дан список строк data. Найдите строки, содержащие только буквы.,list_strings_alpha,"['ABC', 'abc', 'Ab1']"
Дан список строк data. Найдите строки, содержащие только буквы.,list_strings_alpha,"['тест', '123', '']"

Дан словарь data. Найдите ключ с максимальным значением.,dict_key_max,"{'a': 3, 'b': 7, 'c': 5}"
Дан словарь data. Найдите ключ с максимальным значением.,dict_key_max,"{'x': 10, 'y': 2}"
Дан словарь data. Найдите ключ с максимальным значением.,dict_key_max,"{'one': 1}"
Дан словарь data. Найдите ключ с максимальным значением.,dict_key_max,"{'p': -1, 'q': -5}"
Дан словарь data. Найдите ключ с максимальным значением.,dict_key_max,"{'Ann': 80, 'Bob': 95, 'Kate': 70}"

Дан список чисел data. Разделите список на чётные и нечётные.,list_split_even_odd,"[1, 2, 3, 4, 5, 6]"
Дан список чисел data. Разделите список на чётные и нечётные.,list_split_even_odd,"[10, 15, 20, 25]"
Дан список чисел data. Разделите список на чётные и нечётные.,list_split_even_odd,"[7, 9, 11]"
Дан список чисел data. Разделите список на чётные и нечётные.,list_split_even_odd,"[0, 1, 2]"
Дан список чисел data. Разделите список на чётные и нечётные.,list_split_even_odd,"[8, 6, 4, 3, 1]"

Дан список чисел data. Найдите сумму элементов с чётными индексами.,list_sum_even_index,"[1, 2, 3, 4, 5]"
Дан список чисел data. Найдите сумму элементов с чётными индексами.,list_sum_even_index,"[10, 20, 30, 40]"
Дан список чисел data. Найдите сумму элементов с чётными индексами.,list_sum_even_index,"[5, 5, 5, 5, 5]"
Дан список чисел data. Найдите сумму элементов с чётными индексами.,list_sum_even_index,"[0, 1, 0, 1]"
Дан список чисел data. Найдите сумму элементов с чётными индексами.,list_sum_even_index,"[9, 8, 7, 6]"

Дан список строк data. Найдите строки, начинающиеся с заглавной буквы.,list_strings_capital,"['Apple', 'banana', 'Cherry']"
Дан список строк data. Найдите строки, начинающиеся с заглавной буквы.,list_strings_capital,"['One', 'two', 'Three']"
Дан список строк data. Найдите строки, начинающиеся с заглавной буквы.,list_strings_capital,"['текст', 'Строка', 'пример']"
Дан список строк data. Найдите строки, начинающиеся с заглавной буквы.,list_strings_capital,"['A', 'b', 'C']"
Дан список строк data. Найдите строки, начинающиеся с заглавной буквы.,list_strings_capital,"['X', 'y', 'z']"

Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Программирование требует практики"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Машинное обучение и анализ"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Алгоритмы данных"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Python простой язык"
Дан текст text. Найдите самое короткое слово.,text_shortest_word,"Учебное задание по Python"

Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[1, 2, 3, 4, 5, 6]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[10, 15, 20, 25]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[7, 9, 11]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[0, 1, 2]"
Дан список чисел data. Найдите количество чётных и нечётных элементов.,list_count_even_odd,"[8, 6, 4, 3, 1]"

Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[3, 1, 4, 2]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[10, 5, 7]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[-1, -5, 0]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[9]"
Дан список чисел data. Найдите индекс минимального элемента.,list_index_min,"[2, 2, 1, 3]"

Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['cat', 'horse', 'elephant']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['one', 'two', 'three']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['a', 'ab', 'abcd']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['тест', 'пример', 'код']"
Дан список строк data. Найдите строки длиной больше 3 символов.,list_filter_len_gt_3,"['x', 'yy', 'zzz', 'wwww']"

Дан словарь data. Создайте список всех значений.,dict_values_list,"{'a': 1, 'b': 2, 'c': 3}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{'x': 10, 'y': 20}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{'one': 1}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{}"
Дан словарь data. Создайте список всех значений.,dict_values_list,"{'p': 5, 'q': 15, 'r': 25}"

